Semana,Fecha,USD/MXN,EUR/MXN,GBP/MXN,CHF/MXN,JPY/MXN,HKD/MXN,CAD/MXN,AUD/MXN
1,2/24/2020,19.605101,21.614111,25.127575,20.316605,0.18132,2.514144,14.60804,12.790843
2,3/2/2020,20.095301,22.6945,26.222486,21.43586,0.190812,2.585332,14.965854,13.363969
3,3/9/2020,21.9002,24.319,26.870686,23.021494,0.202895,2.816203,15.754469,13.535756
4,3/16/2020,24.4081,26.114,28.435087,24.747683,0.219892,3.144585,16.989386,14.139613
5,3/23/2020,23.375999,26.004,29.114807,24.573606,0.216615,3.015764,16.669163,14.411837
6,3/30/2020,24.968201,26.970699,30.627148,25.543388,0.23013,3.219653,17.556719,14.971606
7,4/6/2020,23.3246,25.511009,29.038851,24.160788,0.215331,3.009206,16.717724,14.8142
8,4/13/2020,23.6943,25.787001,29.611237,24.486397,0.220144,3.054165,16.907314,15.06659
9,4/20/2020,24.979601,27.023001,30.853762,25.647549,0.232084,3.219428,17.7034,15.950634
10,4/27/2020,24.587601,26.9914,30.739416,25.57143,0.229941,3.167342,17.238125,15.785568
11,5/4/2020,23.6576,25.6387,29.349619,24.364618,0.221771,3.045932,16.87719,15.462484
12,5/11/2020,23.947701,25.900999,28.926306,24.599825,0.223241,3.083279,16.940023,15.330318
13,5/18/2020,22.7234,24.77,27.641874,23.394255,0.211108,2.929107,16.22603,14.850117
14,5/25/2020,22.1521,24.606001,27.36307,23.043659,0.205669,2.859889,16.099876,14.779404
15,6/1/2020,21.562,24.381001,27.320749,22.395142,0.196834,2.783337,16.063955,15.032829
16,6/8/2020,22.2339,25.0319,27.872623,23.335014,0.206968,2.866894,16.350664,15.226121
17,6/15/2020,22.629101,25.291,27.865168,23.69487,0.211105,2.911435,16.580688,15.422042
18,6/22/2020,23.049,25.846201,28.41643,24.296995,0.214789,2.971552,16.826696,15.805968
19,6/29/2020,22.37158,25.1709,27.923237,23.674122,0.208055,2.886093,16.473988,15.527385
20,7/6/2020,22.438999,25.354,28.291439,23.81324,0.209658,2.891095,16.489183,15.577381
21,7/13/2020,22.5317,25.7505,28.317554,24.008202,0.210595,2.906241,16.594034,15.769782
22,7/20/2020,22.271799,25.969999,28.487438,24.188839,0.209818,2.873033,16.60071,15.82326
23,7/27/2020,22.262699,26.2262,29.149973,24.394218,0.210347,2.874259,16.610285,15.914212
24,8/3/2020,22.378,26.3237,29.182093,24.510187,0.211215,2.88664,16.714655,16.014521
25,8/10/2020,21.9484,26.007,28.739918,24.162054,0.206042,2.833437,16.584604,15.750787
26,8/17/2020,21.962601,25.912001,28.745327,24.113977,0.207549,2.833516,16.725388,15.72818
27,8/24/2020,21.739401,25.8885,29.025984,24.044653,0.206356,2.805125,16.583788,16.016298
28,8/31/2020,21.552999,25.514,28.634752,23.604124,0.202803,2.779994,16.494539,15.688297
29,9/7/2020,21.2605,25.184099,27.202038,23.390854,0.200272,2.743149,16.133486,15.485682
30,9/14/2020,21.128401,25.0026,27.288689,23.178061,0.202047,2.725994,15.998819,15.401582
31,9/21/2020,22.3328,25.985001,28.457796,24.035305,0.211459,2.88111,16.678507,15.692539
32,9/28/2020,21.6203,25.303801,27.926659,23.450047,0.205057,2.786163,16.226177,15.468867
33,10/5/2020,21.120081,24.997299,27.541861,23.205034,0.199851,2.72353,16.090151,15.288334
34,10/12/2020,21.128201,24.768999,27.284353,23.093681,0.20039,2.726054,16.019791,14.95939
35,10/19/2020,20.8505,24.737,27.205477,23.065262,0.199172,2.690876,15.880219,14.885798
36,10/26/2020,21.3456,24.9426,27.406378,23.062527,0.202297,2.730983,15.893251,14.881372
37,11/2/2020,20.561001,24.4237,27.072872,22.864763,0.199058,2.653735,15.796646,14.93406
38,11/9/2020,20.391001,24.1362,26.905924,22.348751,0.194877,2.629824,15.531622,14.82548
39,11/16/2020,20.091999,23.801901,26.650219,22.042967,0.193115,2.587566,15.320886,14.648759
40,11/23/2020,20.027201,23.9447,26.662899,22.13975,0.192455,2.585217,15.423487,14.8017
41,11/30/2020,19.761801,23.957199,26.571236,22.162313,0.189764,2.55086,15.465305,14.677989
42,12/7/2020,20.125099,24.388,26.596464,22.577,0.191877,2.578906,15.688701,15.040553
