PROCESO / PRODUCTO / SISTEMA,,,,,,,,,ACCIONES,,,,,,
FUNCIÓN,MODOS DE FALLO,EFECTOS DEL FALLO,SEVERIDAD [1-10],CAUSAS POTENCIALES,OCCURRENCIA [1-10],CONTROLES PRESENTES,DETECCIÓN [1-10],NPR,ACCIONES RECOMENDADAS,ASIGNACIÓN Y FECHA LÍMITE,ACCIONES IMPLEMENTADAS,,,,
Descripción de la función,¿Qué puede salir mal con esta función?,¿Cómo impactan al cliente esas fallas?,¿Con qué intensidad impactan al cliente esas fallas?,¿Qué puede causar esta falla?,¿Con qué frecuencia se presenta esta falla?,¿Qué evita que la falla se presente actualmente?,¿Con qué facilidad se detecta la falla?,"Número de Prioridad del Riesgo =
S * O * D",¿Qué podría disminuir la ocurrencia de la falla y aumentar la tasa de detección de la misma?,¿Quién supervisará la implementación y para cuando debería estar lista?,Describa lo que se ha hecho (aparte de las acciones recomendadas),,,,
Ensamblaje de las piezas,"Que una pieza este dañada, o hagan falta piezas","Representan un riesgo para nuestros clientes, pues al tener fallas, pueden desarmarse durante un vuelo.",10,Podría causar un daño que ponga en riesgo a las personas dentro del avión al grado de insendiarse una turbina o una despresurización de cabina,1,Se tienen sensores e idnicadores que nos muestran la falla directamente en las pruebas de revisión antes del despegue ,9,90,Revisar municiosamente dichas piezas al igual que los sensores puestos en el software de la cabina,Es un ingeniero en manufactura y mantenimiento de aviación y estaría lista en un plazo de 15-20 días hábiles,"El ingeniero reviso cada una de las piezas que son utilizadas al igual que la supervisión del ensamblaje, con eso se realizaron pruebas de fugas y sensores que midieron si existía algún problema",,,,
Mantenimeinto de la aeronave,Que no se le de el mantenimeinto requerido o no se pueda dar mantenimiento alguno,"No poderse avasto para transportar personas sin la aeronave, pueden tener perdidas o un accidente durante dichi vuelo",10,Podría poner en riesgo a las personas del vuelo o se tendría que hacer una aeronave desde el principio lo que causa perdidas monetarias,4,Darle a la aeronave el mantenimeinto cada cierto periodo de tiempo y si los senosres indican que se necesita revisar al instante,7,70,Tener citas agendadas al igual que un registro de cuando se necesita dar mantenimiento y sensores que indiquen el mantenimiento,Ingeniero en mantenimieno aeronautico junto con un equipo. Si requiere un mantenimiento alto serían 30-40 días y si es algo rápido de 15-30 días,Se tiene un registro de mantenimiento al igual que sensores donde nos indican la parte que necesita mantenimiento,,,,
Diseño Mecánico de la aeronave,Falla en las turbinas de la aeronave,Un riesgo de que la aeronave no pueda volar o tener un accidente en pleno vuelo,10,Poner en riesgo vidas humanas dentro de uun vuelo al igual de causar que el avión tenga un impacto,5,Revisar las turbinas antes de la entrega con una municiosa inspección de estas,5,50,"Poner unas pruebas rigurosas hasta que tengamos la certeza de que no existen fallas, al igual que unos sensores dondé nos indiquen si existe un problema",Ingeniero en diseño mecánico aeronáutico dondé el realizara las pruebas hasta ver que no exista ningún problema tardará unos 40-60 dúias,Los sensores nos indicarán si despues de la entrega existe algúna falla dondé sera llevado inmediato a un chequeo riguroso,,,,
Falla en un sistema de electronica y control en aeronaves,"Un error en el codigo de programación, una conexión mal hecha.","Una falla en el sistema de control de nave, puede generar que durante los vuelos, los calculos sean erroneos, y por ende tener direccionamientos errroneos, llevando a una colisión",10,Podría causar una colisión por falta de comunicación y localización perdiendo así vidas y la misma nave,2,Revisar el software y hacer pruebas que nos reiteren que no exíste un problema en los cálculos ni mantenimiento de este,8,80,Cerciorarse de que no exista un problema en el control del software al igual que los cálculos de localización dentro de la caja madre,Ingeniero en electrónica y control de sistemas de aeronaves ,Se realizan vuelos de prueba dondé se verá reflejado si existe algún problema y si llegará a presentarse se soluciona de 20-50 días,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
